model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse
GLM_1_AutoML_2_20251118_145642,0.7964440541346369,0.8402607020002548,0.4854464286888909,0.217266530768251,0.3988578994081109,0.1590876239202507
GBM_grid_1_AutoML_2_20251118_145642_model_5,0.7944012980779547,0.8400680022932857,0.494783782498102,0.230222002802905,0.4059948747557779,0.1648318383279598
GBM_1_AutoML_2_20251118_145642,0.7862133323307148,0.8346771881768374,0.5044312704939982,0.2304720346540963,0.4087729881316871,0.1670953558261084
GBM_grid_1_AutoML_2_20251118_145642_model_8,0.785354852801289,0.8323042744298634,0.6050825989364546,0.2344048604917826,0.4577884519935231,0.2095702667786261
GBM_grid_1_AutoML_2_20251118_145642_model_9,0.7834353962796123,0.8269381449866223,0.5620346424994996,0.243318416358772,0.4354862148248564,0.1896482433024809
GBM_grid_1_AutoML_2_20251118_145642_model_3,0.7828551656266215,0.8287409224104982,0.554009521139043,0.2246448592177349,0.4325846967699179,0.1871295198795218
XGBoost_grid_1_AutoML_2_20251118_145642_model_3,0.7788196181572301,0.8261339024079503,0.5370495454642391,0.2257731876672189,0.4202682217582266,0.1766253782198219
XGBoost_grid_1_AutoML_2_20251118_145642_model_2,0.777237448152052,0.8164551216715504,0.6401170786280695,0.2326196012230861,0.4552392218155531,0.2072427490792304
XGBoost_grid_1_AutoML_2_20251118_145642_model_7,0.7770983727788687,0.8238637087527074,0.5542351515232194,0.2481582048668622,0.4249679374913741,0.1805977478956724
GBM_2_AutoML_2_20251118_145642,0.7751238032591489,0.816553860364377,0.6376156774511027,0.2296861065103838,0.4651002304061777,0.2163182243238796
GBM_grid_1_AutoML_2_20251118_145642_model_7,0.7738443718045481,0.8125350363103577,0.9936312740966856,0.2304314243852722,0.558776113468564,0.3122307449830335
XGBoost_grid_1_AutoML_2_20251118_145642_model_4,0.773072711954005,0.8229878009937571,0.6288413502791476,0.2482227035291122,0.4538211268570741,0.2059536151818244
GBM_grid_1_AutoML_2_20251118_145642_model_2,0.7728849706125148,0.814814785322971,0.8351556373931173,0.2493144031086764,0.5260445446135386,0.2767228629176652
XGBoost_grid_1_AutoML_2_20251118_145642_model_5,0.7714235232391808,0.8109552172251242,0.6936969064090186,0.2552180214040007,0.4682937998336815,0.2192990829626682
XGBoost_grid_1_AutoML_2_20251118_145642_model_11,0.7713845264865459,0.8110229010064973,0.7544535692622709,0.2433868964199264,0.4874845038126897,0.2376411414575042
XGBoost_grid_1_AutoML_2_20251118_145642_model_8,0.7699363351180462,0.8178788699197351,0.6041223967425835,0.2544766849280164,0.4378843330616812,0.1917426891408733
GBM_grid_1_AutoML_2_20251118_145642_model_10,0.7696036298941776,0.8160506115428716,0.5385448013731113,0.2311082621990067,0.4241999488242369,0.1799455965824852
GBM_4_AutoML_2_20251118_145642,0.7693596777388577,0.8066218626576633,0.8094860271452897,0.2408682634730541,0.5188007009046165,0.2691541672591214
XGBoost_grid_1_AutoML_2_20251118_145642_model_6,0.7688684064319932,0.8160729073767357,0.5937271432829501,0.2670372021913622,0.4406878234108595,0.1942057577026009
XGBoost_grid_1_AutoML_2_20251118_145642_model_13,0.7680734064705772,0.8165419161676649,0.6018141368317931,0.2421821251114793,0.4446602225667812,0.1977227135331394
XGBoost_1_AutoML_2_20251118_145642,0.7677899951204709,0.8116527583131607,0.740627126551701,0.271626958848261,0.4833207237074519,0.2335989219650951
XGBoost_grid_1_AutoML_2_20251118_145642_model_12,0.7675202764926746,0.8109416804688494,0.6767744192902616,0.274749968148809,0.4629210282508957,0.2142958783968665
XGBoost_grid_1_AutoML_2_20251118_145642_model_10,0.7660793160252548,0.8126385526818698,0.8992225086796223,0.2492299974519048,0.5311453258291087,0.28211535715011
XRT_1_AutoML_2_20251118_145642,0.766011196939858,0.8200973053892212,0.652536303454687,0.2421017008536121,0.4854290259343386,0.2356413392195608
GBM_3_AutoML_2_20251118_145642,0.7655222938026716,0.8062914065486041,0.7015253661607368,0.2477067142311124,0.4880423672355225,0.2381853522168526
GBM_5_AutoML_2_20251118_145642,0.7630540170044992,0.8146316409733723,0.5933459093104672,0.2336149509491656,0.4489223532645334,0.2015312792605665
XGBoost_2_AutoML_2_20251118_145642,0.760116792693732,0.8109926423748247,0.9197778415688538,0.2625199069945218,0.5290059098287793,0.2798472526337746
XGBoost_grid_1_AutoML_2_20251118_145642_model_9,0.7571487031743389,0.7966221811695754,1.4225643775832042,0.2673915466938465,0.6032230437173286,0.3638780404715981
GBM_grid_1_AutoML_2_20251118_145642_model_6,0.756443499793783,0.792577079882787,0.6333443095165303,0.2768895719199901,0.4659116587791615,0.2170736737863498
DRF_1_AutoML_2_20251118_145642,0.7552534585387898,0.7973810358007388,1.7523842878783025,0.2528283857816283,0.5976087511465246,0.3571362194469087
DeepLearning_grid_1_AutoML_2_20251118_145642_model_1,0.7548637075127491,0.7737689514587845,1.7289863341873852,0.3046216078481334,0.5426962836204641,0.2945192562554631
XGBoost_grid_1_AutoML_2_20251118_145642_model_1,0.7545001919479305,0.806679991081666,1.2729449309526126,0.2586030067524527,0.5943424472022063,0.3532429445463073
GBM_grid_1_AutoML_2_20251118_145642_model_1,0.7461606999959621,0.802208880112116,0.7716751119724904,0.2535577780608997,0.5100669609295713,0.2601683046319288
XGBoost_3_AutoML_2_20251118_145642,0.7446977448933658,0.8034805389221554,0.7880754991045467,0.2473762581220538,0.4985013084256568,0.2485035545020918
GBM_grid_1_AutoML_2_20251118_145642_model_4,0.7430693221888341,0.7893497579309462,0.7297869668712255,0.2587598738692829,0.4974120635544161,0.2474187609694624
DeepLearning_1_AutoML_2_20251118_145642,0.7419193831216215,0.8017717225124217,0.8165761730016224,0.234694706332017,0.5041925767782319,0.2542101544782733
